office_no,municipality,corporation_name,office_name,wam_office_url,homepage_url,homepage_source,homepage_confidence,instagram_url,instagram_source,instagram_confidence,search_query,search_checked_at
1,大阪市,はづき福祉会,ワークはづき,https://www.work-haduki.com,https://www.work-haduki.com,wam_url,high,,,,"""ワークはづき"" ""大阪市"" はづき福祉会 就労継続支援B型 Instagram",2026-03-12T16:12:55
10,大阪市,大阪市手をつなぐ育成会,港第二育成園,https://www.city-osaka-ikuseikai.or.jp/minato2,https://www.city-osaka-ikuseikai.or.jp/minato2,wam_url,high,,,,"""港第二育成園"" ""大阪市"" 大阪市手をつなぐ育成会 就労継続支援B型 Instagram",2026-03-12T16:12:55
100,大阪市,Meiアシスト株式会社,就労継続支援B型事業所HARENOHIWORKS,,,,,,,,"""就労継続支援B型事業所HARENOHIWORKS"" ""大阪市"" Meiアシスト 就労継続支援B型 Instagram",2026-03-12T16:12:55
101,大阪市,AsFine株式会社,AsFineアジャスト森ノ宮オフィス,,,,,,,,"""AsFineアジャスト森ノ宮オフィス"" ""大阪市"" AsFine 就労継続支援B型 Instagram",2026-03-12T16:12:55
102,大阪市,株式会社one-with,one-with　plant,,,,,,,,"""one-with　plant"" ""大阪市"" one-with 就労継続支援B型 Instagram",2026-03-12T16:12:55
103,大阪市,株式会社Mt.West,あいるワークさぽーと,,,,,,,,"""あいるワークさぽーと"" ""大阪市"" Mt.West 就労継続支援B型 Instagram",2026-03-12T16:12:55
104,大阪市,株式会社ワークロード,ワーロード新深江,,,,,,,,"""ワーロード新深江"" ""大阪市"" ワークロード 就労継続支援B型 Instagram",2026-03-12T16:12:55
105,大阪市,タカラモンテ株式会社,陽のあたる場所,,,,,,,,"""陽のあたる場所"" ""大阪市"" タカラモンテ 就労継続支援B型 Instagram",2026-03-12T16:12:55
106,大阪市,合同会社　杜の雫,杜の雫,,,,,,,,"""杜の雫"" ""大阪市"" 杜の雫 就労継続支援B型 Instagram",2026-03-12T16:12:55
107,大阪市,合同会社森の宮,サポートセンターもりのみや,,,,,,,,"""サポートセンターもりのみや"" ""大阪市"" 森の宮 就労継続支援B型 Instagram",2026-03-12T16:12:55
108,大阪市,株式会社 フェニックス,グリーンピース,,,,,,,,"""グリーンピース"" ""大阪市"" フェニックス 就労継続支援B型 Instagram",2026-03-12T16:12:55
109,大阪市,合同会社ユー,ユー,,,,,,,,"""ユー"" ""大阪市"" ユー 就労継続支援B型 Instagram",2026-03-12T16:12:55
11,大阪市,特定非営利活動法人ナポレオンフィッシュ,ナポレオンフィッシュ,http://napoleonfish.jp,http://napoleonfish.jp,wam_url,high,,,,"""ナポレオンフィッシュ"" ""大阪市"" ナポレオンフィッシュ 就労継続支援B型 Instagram",2026-03-12T16:12:55
110,大阪市,社会福祉法人みらい楽舎,JOIN（じょいん）,http://www.eonet.ne.jp/~kanairou,http://www.eonet.ne.jp/~kanairou,wam_url,high,,,,"""JOIN（じょいん）"" ""大阪市"" みらい楽舎 就労継続支援B型 Instagram",2026-03-12T16:12:55
111,大阪市,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,,,,,,,,"""ＮＰＯ法人ヘレンケラー自立支援センターすまいる"" ""大阪市"" ＮＰＯ法人ヘレンケラー自立支援センターすまいる 就労継続支援B型 Instagram",2026-03-12T16:12:55
112,大阪市,"特定非営利活動法人
精神障害者支援の会ヒット",むつみ工房,,,,,,,,"""むつみ工房"" ""大阪市"" 精神障害者支援の会ヒット 就労継続支援B型 Instagram",2026-03-12T16:12:55
113,大阪市,大阪市障害者福祉・スポーツ協会,ワークセンター中授,http://chuuju.chuuju.sub.jp,http://chuuju.chuuju.sub.jp,wam_url,high,,,,"""ワークセンター中授"" ""大阪市"" 大阪市障害者福祉・スポーツ協会 就労継続支援B型 Instagram",2026-03-12T16:12:55
114,大阪市,"特定非営利活動法人
精神障害者支援の会ヒット",あしすと,,,,,,,,"""あしすと"" ""大阪市"" 精神障害者支援の会ヒット 就労継続支援B型 Instagram",2026-03-12T16:12:55
115,大阪市,一般社団法人Me2,支援センターish,https://www.me2-ish.com,https://www.me2-ish.com,wam_url,high,,,,"""支援センターish"" ""大阪市"" Me2 就労継続支援B型 Instagram",2026-03-12T16:12:55
116,大阪市,株式会社ヒロコウチ,リボーン天王寺,http://hiroholdings.com,http://hiroholdings.com,wam_url,high,,,,"""リボーン天王寺"" ""大阪市"" ヒロコウチ 就労継続支援B型 Instagram",2026-03-12T16:12:55
117,大阪市,株式会社大阪ヒューマンネット,ヒューマンネット上本町センター,http://human-osaka.net,http://human-osaka.net,wam_url,high,,,,"""ヒューマンネット上本町センター"" ""大阪市"" 大阪ヒューマンネット 就労継続支援B型 Instagram",2026-03-12T16:12:55
118,大阪市,株式会社楽座,就労支援事業所ark,http://ark-syuurou.com,http://ark-syuurou.com,wam_url,high,,,,"""就労支援事業所ark"" ""大阪市"" 楽座 就労継続支援B型 Instagram",2026-03-12T16:12:55
119,大阪市,株式会社Nine,障がい福祉サポートネットClan　Nine 真法院,,,,,,,,"""障がい福祉サポートネットClan　Nine 真法院"" ""大阪市"" Nine 就労継続支援B型 Instagram",2026-03-12T16:12:55
12,大阪市,特定非営利活動法人ふらっと,就労継続支援Ｂ型ふらっと,,,,,,,,"""就労継続支援Ｂ型ふらっと"" ""大阪市"" ふらっと 就労継続支援B型 Instagram",2026-03-12T16:12:55
120,大阪市,株式会社ワンダーフレンズ,ワンダーフレンズ天王寺,https://wonderf.jp,https://wonderf.jp,wam_url,high,,,,"""ワンダーフレンズ天王寺"" ""大阪市"" ワンダーフレンズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
121,大阪市,合同会社アルファプラス,アルファプラス天王寺,https://alphaplus-tennoji.com/index.html,https://alphaplus-tennoji.com/index.html,wam_url,high,,,,"""アルファプラス天王寺"" ""大阪市"" アルファプラス 就労継続支援B型 Instagram",2026-03-12T16:12:55
122,大阪市,合同会社ON,就労支援事業所あすな,https://snabi.jp/facility/22889,,,,,,,"""就労支援事業所あすな"" ""大阪市"" ON 就労継続支援B型 Instagram",2026-03-12T16:12:55
123,大阪市,一般社団法人ウリエル,ファミーユ・ウリエル,https://famille-uriel.com,https://famille-uriel.com,wam_url,high,,,,"""ファミーユ・ウリエル"" ""大阪市"" ウリエル 就労継続支援B型 Instagram",2026-03-12T16:12:55
124,大阪市,株式会社　ＡＬＬ　ＡＳＩＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ,office BLooM,,,,,,,,"""office BLooM"" ""大阪市"" ＡＬＬ　ＡＳＩＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ 就労継続支援B型 Instagram",2026-03-12T16:12:55
125,大阪市,株式会社シーアイ・パートナーズ,TECTEC CREATIVE天王寺,,,,,,,,"""TECTEC CREATIVE天王寺"" ""大阪市"" シーアイ・パートナーズ 就労継続支援B型 Instagram",2026-03-12T16:12:55
126,大阪市,株式会社イーマ,Ｌｉｆｅ谷九,https://tani9.life,https://tani9.life,wam_url,high,,,,"""Ｌｉｆｅ谷九"" ""大阪市"" イーマ 就労継続支援B型 Instagram",2026-03-12T16:12:55
127,大阪市,人財クリエイション株式会社,ハートフェルト・フローラル・プロジェクト寺田町,https://teradacho.hffp-b.com,https://teradacho.hffp-b.com,wam_url,high,,,,"""ハートフェルト・フローラル・プロジェクト寺田町"" ""大阪市"" 人財クリエイション 就労継続支援B型 Instagram",2026-03-12T16:12:55
128,大阪市,医療法人中道会,医療法人中道会　ワークステーションホープ,,,,,,,,"""医療法人中道会　ワークステーションホープ"" ""大阪市"" 中道会 就労継続支援B型 Instagram",2026-03-12T16:12:55
129,大阪市,株式会社シクロ,BOOKSTACKてんのうじ,,,,,,,,"""BOOKSTACKてんのうじ"" ""大阪市"" シクロ 就労継続支援B型 Instagram",2026-03-12T16:12:55
13,大阪市,株式会社絆,きずなワークス,,,,,,,,"""きずなワークス"" ""大阪市"" 絆 就労継続支援B型 Instagram",2026-03-12T16:12:55
130,大阪市,株式会社ピースフル,ピースフル,,,,,,,,"""ピースフル"" ""大阪市"" ピースフル 就労継続支援B型 Instagram",2026-03-12T16:12:55
131,大阪市,合同会社ハーティ,松下福祉サポート,,,,,,,,"""松下福祉サポート"" ""大阪市"" ハーティ 就労継続支援B型 Instagram",2026-03-12T16:12:55
